id,name,email,phone,password
DT01,Nguyễn Văn A,nguyenvana@gmail.com,0912345678,nvA2024a
DT02,Trần Thị B,tranthib@gmail.com,0987654321,ttB2024b
DT03,Lê Minh C,leminhc@gmail.com,0933334444,lmC2024c
DT04,Hoàng Thị D,hoangthid@gmail.com,0976543210,htD2024d
DT05,Phan Minh E,phanmine@gmail.com,0944556677,pmE2024e
DT06,Nguyễn Thị F,nguyenthif@gmail.com,0966123456,ntF2024f
DT07,Lê Hoàng G,lehoangg@gmail.com,0912341234,lhG2024g
DT08,Trần Minh H,tranminhh@gmail.com,0922333444,tmH2024h
DT09,Phạm Thị I,phamthi@gmail.com,0988776655,ptI2024i
DT10,Đỗ Minh J,dominhj@gmail.com,0901234567,dmJ2024j
